('17.05', 9e+16)
('17.06', 1e+18)
('17.07', 1.0600967321322426e+22)
('17.08', 6.456006316562121e+21)
('17.09', 3.6021275371606943e+21)
('17.10', 2.1480241795424563e+21)
('17.11', 1.958732056107452e+21)
('17.12', 1.572655746479149e+21)
('18.01', 1.6090164925078323e+21)
('18.02', 4.185162426225821e+20)
('18.03', 1.1030687411445704e+20)
('18.04', 4.191689557989347e+20)
('18.05', 8.789218278811683e+20)
('18.06', 7.80656589348703e+20)
('18.07', 1.0689007714570715e+20)
('18.08', 3.320795403285847e+19)
('18.09', 2.93727866355e+19)
('18.10', 1.0495930042686906e+19)
('18.11', 6.366969081820165e+19)
('18.12', 1.1415975550458816e+20)
('19.01', 9.98356336e+18)
('19.02', 5.579339756026782e+19)
('19.03', 1.3277434967256593e+20)
('19.04', 1.4377527985536845e+20)
('19.05', 1.7375593049652488e+19)
('19.06', 5.56943007e+18)
